Frame: 1, Jumlah Tangan: 115
Frame: 2, Jumlah Tangan: 107
Frame: 3, Jumlah Tangan: 107
Frame: 4, Jumlah Tangan: 106
Frame: 5, Jumlah Tangan: 107
Frame: 6, Jumlah Tangan: 107
Frame: 7, Jumlah Tangan: 89
Frame: 8, Jumlah Tangan: 89
Frame: 9, Jumlah Tangan: 91
Frame: 10, Jumlah Tangan: 91
Frame: 11, Jumlah Tangan: 93
Frame: 12, Jumlah Tangan: 93
Frame: 13, Jumlah Tangan: 94
Frame: 14, Jumlah Tangan: 81
Frame: 15, Jumlah Tangan: 81
Frame: 16, Jumlah Tangan: 90
Frame: 17, Jumlah Tangan: 90
Frame: 18, Jumlah Tangan: 120
Frame: 19, Jumlah Tangan: 120
Frame: 20, Jumlah Tangan: 134
Frame: 21, Jumlah Tangan: 134
Frame: 22, Jumlah Tangan: 117
Frame: 23, Jumlah Tangan: 117
Frame: 24, Jumlah Tangan: 111
Frame: 25, Jumlah Tangan: 111
Frame: 26, Jumlah Tangan: 112
Frame: 27, Jumlah Tangan: 126
Frame: 28, Jumlah Tangan: 126
Frame: 29, Jumlah Tangan: 109
Frame: 30, Jumlah Tangan: 109
Frame: 31, Jumlah Tangan: 128
Frame: 32, Jumlah Tangan: 128
Frame: 33, Jumlah Tangan: 126
Frame: 34, Jumlah Tangan: 133
Frame: 35, Jumlah Tangan: 133
Frame: 36, Jumlah Tangan: 131
Frame: 37, Jumlah Tangan: 131
Frame: 38, Jumlah Tangan: 91
Frame: 39, Jumlah Tangan: 91
Frame: 40, Jumlah Tangan: 85
Frame: 41, Jumlah Tangan: 81
Frame: 42, Jumlah Tangan: 81
Frame: 43, Jumlah Tangan: 78
Frame: 44, Jumlah Tangan: 78
Frame: 45, Jumlah Tangan: 80
Frame: 46, Jumlah Tangan: 80
Frame: 47, Jumlah Tangan: 73
Frame: 48, Jumlah Tangan: 73
Frame: 49, Jumlah Tangan: 64
Frame: 50, Jumlah Tangan: 67
Frame: 51, Jumlah Tangan: 67
Frame: 52, Jumlah Tangan: 96
Frame: 53, Jumlah Tangan: 96
Frame: 54, Jumlah Tangan: 82
Frame: 55, Jumlah Tangan: 82
Frame: 56, Jumlah Tangan: 89
Frame: 57, Jumlah Tangan: 89
Frame: 58, Jumlah Tangan: 73
Frame: 59, Jumlah Tangan: 73
Frame: 60, Jumlah Tangan: 61
Frame: 61, Jumlah Tangan: 61
Frame: 62, Jumlah Tangan: 56
Frame: 63, Jumlah Tangan: 97
Frame: 64, Jumlah Tangan: 97
Frame: 65, Jumlah Tangan: 61
Frame: 66, Jumlah Tangan: 61
Frame: 67, Jumlah Tangan: 60
Frame: 68, Jumlah Tangan: 60
Frame: 69, Jumlah Tangan: 70
Frame: 70, Jumlah Tangan: 60
Frame: 71, Jumlah Tangan: 60
Frame: 72, Jumlah Tangan: 39
Frame: 73, Jumlah Tangan: 39
Frame: 74, Jumlah Tangan: 43
Frame: 75, Jumlah Tangan: 43
Frame: 76, Jumlah Tangan: 47
Frame: 77, Jumlah Tangan: 77
Frame: 78, Jumlah Tangan: 77
Frame: 79, Jumlah Tangan: 77
Frame: 80, Jumlah Tangan: 77
Frame: 81, Jumlah Tangan: 64
Frame: 82, Jumlah Tangan: 64
Frame: 83, Jumlah Tangan: 57
Frame: 84, Jumlah Tangan: 57
Frame: 85, Jumlah Tangan: 53
Frame: 86, Jumlah Tangan: 67
Frame: 87, Jumlah Tangan: 67
Frame: 88, Jumlah Tangan: 69
Frame: 89, Jumlah Tangan: 69
Frame: 90, Jumlah Tangan: 70
Frame: 91, Jumlah Tangan: 70
Frame: 92, Jumlah Tangan: 61
Frame: 93, Jumlah Tangan: 61
Frame: 94, Jumlah Tangan: 61
Frame: 95, Jumlah Tangan: 61
Frame: 96, Jumlah Tangan: 57
Frame: 97, Jumlah Tangan: 57
Frame: 98, Jumlah Tangan: 67
Frame: 99, Jumlah Tangan: 62
Frame: 100, Jumlah Tangan: 62
Frame: 101, Jumlah Tangan: 51
Frame: 102, Jumlah Tangan: 51
Frame: 103, Jumlah Tangan: 67
Frame: 104, Jumlah Tangan: 67
Frame: 105, Jumlah Tangan: 50
Frame: 106, Jumlah Tangan: 41
Frame: 107, Jumlah Tangan: 41
Frame: 108, Jumlah Tangan: 38
Frame: 109, Jumlah Tangan: 38
Frame: 110, Jumlah Tangan: 42
Frame: 111, Jumlah Tangan: 42
Frame: 112, Jumlah Tangan: 46
Frame: 113, Jumlah Tangan: 47
Frame: 114, Jumlah Tangan: 47
Frame: 115, Jumlah Tangan: 50
Frame: 116, Jumlah Tangan: 50
Frame: 117, Jumlah Tangan: 48
Frame: 118, Jumlah Tangan: 48
Frame: 119, Jumlah Tangan: 40
Frame: 120, Jumlah Tangan: 40
Frame: 121, Jumlah Tangan: 48
Frame: 122, Jumlah Tangan: 51
Frame: 123, Jumlah Tangan: 51
Frame: 124, Jumlah Tangan: 47
Frame: 125, Jumlah Tangan: 47
Frame: 126, Jumlah Tangan: 44
Frame: 127, Jumlah Tangan: 44
Frame: 128, Jumlah Tangan: 50
Frame: 129, Jumlah Tangan: 50
Frame: 130, Jumlah Tangan: 54
Frame: 131, Jumlah Tangan: 54
Frame: 132, Jumlah Tangan: 44
Frame: 133, Jumlah Tangan: 44
Frame: 134, Jumlah Tangan: 46
Frame: 135, Jumlah Tangan: 47
Frame: 136, Jumlah Tangan: 47
Frame: 137, Jumlah Tangan: 45
Frame: 138, Jumlah Tangan: 45
Frame: 139, Jumlah Tangan: 45
Frame: 140, Jumlah Tangan: 45
Frame: 141, Jumlah Tangan: 47
Frame: 142, Jumlah Tangan: 45
Frame: 143, Jumlah Tangan: 45
Frame: 144, Jumlah Tangan: 49
Frame: 145, Jumlah Tangan: 49
Frame: 146, Jumlah Tangan: 48
Frame: 147, Jumlah Tangan: 48
Frame: 148, Jumlah Tangan: 49
Frame: 149, Jumlah Tangan: 52
Frame: 150, Jumlah Tangan: 52
Frame: 151, Jumlah Tangan: 54
Frame: 152, Jumlah Tangan: 54
Frame: 153, Jumlah Tangan: 57
Frame: 154, Jumlah Tangan: 57
Frame: 155, Jumlah Tangan: 53
Frame: 156, Jumlah Tangan: 53
Frame: 157, Jumlah Tangan: 54
Frame: 158, Jumlah Tangan: 59
Frame: 159, Jumlah Tangan: 59
Frame: 160, Jumlah Tangan: 60
Frame: 161, Jumlah Tangan: 60
Frame: 162, Jumlah Tangan: 64
Frame: 163, Jumlah Tangan: 64
